Epoch	P1	P2	P3	P4	P5	P6	P7	P8
9.7510	0.00559	0.24243	0.26298	0.25368	0.25703	0.25907	0.30306	0.35905
9.8010	0.00548	0.24197	0.26327	0.25197	0.25501	0.25811	0.30405	0.36159
9.8510	0.00516	0.22951	0.25007	0.24067	0.24537	0.25048	0.29588	0.35175
9.9010	0.00513	0.22693	0.24816	0.23937	0.24514	0.25016	0.29623	0.35366
9.9510	0.00535	0.23436	0.25574	0.24604	0.25099	0.25270	0.29782	0.35679
10.0010	0.00526	0.23127	0.25479	0.24749	0.25522	0.25838	0.30405	0.36373
10.0510	0.00533	0.22643	0.25061	0.24346	0.24957	0.25031	0.28943	0.34141
10.1010	0.00535	0.23567	0.25883	0.24817	0.25196	0.25199	0.29521	0.35185
10.1510	0.00481	0.21641	0.23653	0.22569	0.22933	0.23094	0.26905	0.31485
10.2010	0.00488	0.21827	0.23952	0.23138	0.23784	0.24254	0.28498	0.33634
10.2510	0.00448	0.20192	0.22420	0.21761	0.22547	0.23304	0.27896	0.33243
10.3010	0.00525	0.22962	0.25051	0.23987	0.24309	0.24437	0.28361	0.33266
10.3510	0.00467	0.21408	0.23717	0.22994	0.23712	0.24168	0.28963	0.34926
10.4010	0.00443	0.20071	0.22316	0.21740	0.22643	0.23464	0.28440	0.34409
10.4510	0.00416	0.19972	0.22471	0.22004	0.23063	0.24240	0.29929	0.35926
10.5010	0.00459	0.21792	0.24081	0.23056	0.23723	0.24872	0.30670	0.36665
10.5510	0.00459	0.22008	0.24421	0.23584	0.24307	0.25396	0.31149	0.37223
10.6010	0.00432	0.20631	0.23005	0.22331	0.23256	0.24532	0.30765	0.37321
10.6510	0.00475	0.21423	0.23576	0.22731	0.23350	0.24287	0.30034	0.36575
10.7010	0.00476	0.21111	0.23313	0.22638	0.23306	0.24321	0.29878	0.36303
10.7510	0.00475	0.20896	0.23073	0.22341	0.22885	0.23598	0.28909	0.35323
10.8010	0.00476	0.21290	0.23611	0.22694	0.23283	0.24024	0.29952	0.36730
10.8510	0.00472	0.21688	0.23790	0.22639	0.23160	0.23971	0.30153	0.37469
10.9010	0.00482	0.21552	0.23647	0.22526	0.22962	0.23571	0.29313	0.36353
10.9510	0.00488	0.21223	0.23300	0.22378	0.23163	0.23960	0.29673	0.36966
11.0010	0.00500	0.22092	0.24147	0.23005	0.23691	0.24480	0.30442	0.38092
11.0510	0.00488	0.21970	0.23927	0.22812	0.23481	0.24321	0.30034	0.37818
11.1010	0.00458	0.21522	0.23624	0.22657	0.23639	0.24515	0.30103	0.37691
11.1510	0.00519	0.23390	0.25552	0.24492	0.25486	0.25778	0.30447	0.37271
11.2010	0.00519	0.22844	0.24772	0.23748	0.24860	0.25431	0.30652	0.38014
11.2510	0.00522	0.22888	0.24793	0.23639	0.24647	0.25140	0.30106	0.36994
11.3010	0.00529	0.23320	0.25092	0.23871	0.24720	0.25129	0.30093	0.37468
11.3510	0.00552	0.24186	0.25927	0.24501	0.25156	0.25411	0.30223	0.37477
11.4010	0.00561	0.24207	0.25739	0.24197	0.24680	0.24838	0.29612	0.36669
11.4510	0.00540	0.22958	0.24668	0.23703	0.24545	0.25010	0.30116	0.37368
11.5010	0.00502	0.22433	0.24181	0.23096	0.23852	0.24342	0.29709	0.36932
11.5510	0.00513	0.22329	0.23899	0.22564	0.23017	0.23349	0.27850	0.34645
11.6010	0.00481	0.21785	0.23478	0.22292	0.23064	0.23723	0.28653	0.35643
11.6510	0.00503	0.22847	0.24662	0.23340	0.24043	0.24443	0.29540	0.36876
11.7010	0.00554	0.24701	0.26388	0.24786	0.25098	0.25078	0.29827	0.36943
11.7510	0.00506	0.23270	0.25240	0.24175	0.24923	0.25125	0.30279	0.37618
11.8010	0.00455	0.21730	0.23682	0.22791	0.23782	0.24462	0.30035	0.37528
11.8510	0.00480	0.22343	0.24208	0.23297	0.24279	0.24730	0.30082	0.37572
11.9010	0.00442	0.21465	0.23467	0.22591	0.23672	0.24252	0.29644	0.36970
11.9510	0.00408	0.20925	0.23092	0.22015	0.23047	0.23664	0.29412	0.36963
12.0010	0.00424	0.21429	0.23444	0.22229	0.23016	0.23658	0.29315	0.36543
12.0510	0.00446	0.21949	0.24187	0.23135	0.23964	0.24502	0.29417	0.35986
12.1010	0.00518	0.24521	0.26403	0.24625	0.24751	0.24673	0.28763	0.34903
12.1510	0.00459	0.22142	0.24185	0.22769	0.23228	0.23749	0.28462	0.34568
12.2010	0.00443	0.21856	0.24050	0.22501	0.23001	0.23789	0.29265	0.35588
12.2510	0.00453	0.21886	0.24076	0.22626	0.23058	0.23898	0.29150	0.34830
12.3010	0.00454	0.22067	0.24327	0.22899	0.23384	0.24461	0.30027	0.35970
12.3510	0.00504	0.23503	0.25544	0.24028	0.24391	0.25049	0.29964	0.35530
